"","names.train..range.","error"
"1","flavors",0.33484539200121
"2","aromas",0.152793528388901
"3","acidity",0.180993422544795
"4","tannins",0.188326907083995
"5","ripe",0.206396008165117
"6","spice",0.174491570272927
"7","berry",0.290542073032434
"8","blackberry",0.117108943827021
"9","crisp",0.0999470779466243
"10","blend",0.086943373402888
"11","vanilla",0.120057458229379
"12","plum",0.0930672110077871
"13","citrus",0.0749225069932713
"14","chocolate",0.0969229606108717
"15","cabernet",0.0883798291373705
"16","texture",0.0721251984577002
"17","raspberry",0.0802147123308384
"18","pepper",0.100173886746806
"19","pinot",0.0737884629923641
"20","fruity",0.0526952445754896
"21","spicy",0.0598019203145082
"22","balanced",0.0579118469796628
"23","peach",0.0602555379148711
"24","sauvignon",0.0588190821803886
"25","tannic",0.0641112875179557
